ORF,N_FC_Strains,mean_FoldChangeExpression,median_FoldChangeExpression,p
YAL001C,10,0.065525009946657,0.0865838553633267,0.0465039817472192
YAL002W,10,0.0427605642176198,0.0320543301981043,0.165164180526736
YAL003W,10,0.0570216260416553,0.0656300928325002,0.261615966699314
YAL004W,10,0,0,NaN
YAL005C,10,-0.181184949797858,0.0141111968485803,0.33035569665622
YAL007C,10,0.0352021459733734,0.0458082723365776,0.310283861759167
YAL008W,10,-0.29572623404007,-0.170224175802515,0.0364694182052093
YAL009W,10,0.0534260113113806,0.0405485839137429,0.0709505138236507
YAL010C,10,0.113696508854669,0.0786850506747548,0.0196327387823496
YAL011W,10,0.0356397502796974,-0.0181260302531824,0.50437703142329
YAL012W,10,0.219164978687239,0.227598734706226,0.000414602319591813
YAL013W,10,0.146679874798972,0.157304743428334,0.000185115217696545
YAL014C,10,0.0920245501803316,0.120770639684254,0.00850202967177409
YAL015C,10,0.00793411256234245,0.0203322067611912,0.815132664520994
YAL016C-A,10,-0.200191626928453,-0.239223471512333,0.0050456204976733
YAL016C-B,10,0.0898216357396212,0.18907122498069,0.658920250022413
YAL016W,10,0.0707085649020262,0.0498361843727132,0.019703444257476
YAL017W,10,-0.132619012780325,-0.0528449977552051,0.201332039590623
YAL018C,10,-0.388824750178775,-0.438321118072534,0.000832973063190683
YAL019W,10,0.128459738050163,0.0452671094232581,0.229570907065642
YAL019W-A,10,0.10380635333863,0.033931360890223,0.320336402893013
YAL020C,10,0.295811725491526,0.305257743057474,0.0121769887064148
YAL021C,10,0.117853612619457,0.137123211732479,0.0235741324487351
YAL022C,10,0.104254619594163,0.0508106645774168,0.0442027831525186
YAL023C,10,0.0400022160840243,0.0127390459065196,0.265753151000278
YAL024C,10,0.0847199908468647,0.00990965439696032,0.389238541585277
YAL025C,10,0.245228377465537,0.0564077847233311,0.198491660540784
YAL026C,10,0.0102656085845526,-0.00654802829167431,0.767665419992978
YAL026C-A,10,0.129160129455048,0.17214337436735,0.112437388352719
YAL027W,10,0.0723076658592929,0.0367046524506429,0.182545145914181
YAL028W,10,-0.136352104872131,-2.21407577482352e-05,0.304330109635841
YAL029C,10,0.0643671143017454,0.00784066851586896,0.346472222246601
YAL030W,10,-0.0170020953169471,-0.000139479044550915,0.715634377462912
YAL031C,10,-0.0166665042594294,-1.02886409284637e-05,0.666195467534622
YAL031W-A,10,-0.0975283602353697,-0.0326764496321943,0.381232675897267
YAL032C,10,0.0129672181416811,0.0173910634730204,0.761838618269518
YAL033W,10,0.0355536204590541,0.0453920262061265,0.525924787110919
YAL034C,10,-0.134726057840051,-0.0140681632856117,0.234923216667986
YAL034C-B,10,0.235298006860054,0.0987515804035317,0.154684653864631
YAL034W-A,10,0.0511745970927916,0.041907762860454,0.411707088320506
YAL035W,10,0.0153915587810982,0.0293999457411792,0.795800682692465
YAL036C,10,0.0752842601317059,0.0195684104584092,0.278332361022582
YAL037C-A,10,0.290758433629327,0.321951460996322,0.129496908451426
YAL037C-B,10,0.0622744316259542,0.0673206802952122,0.347963523096015
YAL037W,10,0.113173184592479,0.0985266092310679,0.178285908359077
YAL038W,10,0.0181696084087006,0.0271267064336774,0.630722300594905
YAL039C,10,0.188073838728164,0.2072400685775,0.0387408706437667
YAL040C,10,0.134162516031287,0.0543799654284377,0.198413286557918
YAL041W,10,0.117117218249101,0.0903104854552505,0.0432811810006613
YAL042C-A,10,-0.0177053445371417,0.000322135562914157,0.734193197148046
YAL042W,10,0.0984723662103526,0.119107113763906,0.0168340730048679
YAL043C,10,0.089307824880806,0.018481687431022,0.172593188737254
YAL044C,10,0.0426372454038484,0.029286052329928,0.678640360952807
YAL044W-A,10,0.00477476117101131,0.00136972664446065,0.920841397940134
YAL045C,10,-0.0917435306523748,-0.0565799437283668,0.0287919516463841
YAL046C,10,0.0589422544209549,-3.87101475512498e-05,0.407542128803363
YAL047C,10,0.0775238507333931,0.00409763221127597,0.204470858630639
YAL047W-A,10,-0.247126273342277,-0.284185280562844,0.255010820764109
YAL048C,10,0.00881872483970987,0.0114607402833817,0.817770750174973
YAL049C,10,-0.0377242541527437,0.00102169351278904,0.229185369317567
YAL051W,10,0.0896984085009756,0.105954588414375,0.0340950778977455
YAL053W,10,0.170114958714827,0.127891817223991,0.0914048575593603
YAL054C,10,0.110949805651685,0.0855891373554539,0.0309456506827444
YAL055W,10,-0.0549664953251393,-0.0414196344707228,0.375914726626698
YAL056C-A,10,0.0739432035688515,0.028887532305714,0.168065407052367
YAL056W,10,0.0576326683170127,0.0273267825425661,0.0398259225944602
YAL058W,10,-0.00906253919568228,-0.00756219396035001,0.882217191907722
YAL059C-A,10,0.312897799960205,0.0552912441673283,0.375554261463704
YAL059W,10,0.198032834761962,-0.00473209514214441,0.282850413886437
YAL060W,10,-0.218202296122504,-0.124622949669174,0.137436546619353
YAL061W,10,0.0124175801031562,0.0232483563072256,0.850208388199284
YAL062W,10,0.10042317100766,0.0812246862215508,0.0296699812374692
YAL063C,10,0.050463702903103,0.0107486486664581,0.381434603540665
YAL063C-A,10,-0.340783341398492,-0.063384873176684,0.0958117716291885
YAL064C-A,10,0.14270877735786,0.15180849474533,0.0430274306473675
YAL064W,10,-0.0024661170305054,0.0908544313816647,0.980340382421883
YAL064W-B,10,-0.083714647074592,-4.74423288678999e-05,0.501525606513173
YAL065C,10,-0.0449428714302473,-0.0275403445012372,0.738078632202608
YAL066W,10,0.213988977455647,0.138220485294017,0.125338595699427
YAL067C,10,0.0896589695921558,0.0215593555165929,0.155225683663595
YAL067W-A,10,-0.229303158397058,-0.108822781184719,0.319406794853356
YAL068C,10,0.0954693224806398,0.0888843931150529,0.413293331590477
YAL068W-A,10,-0.35925645854702,-0.354080506869025,0.48401487778443
YAL069W,10,0.189775525142281,0.0904102142733168,0.133349026224472
YAR002C-A,10,0.0264454769967636,-0.012052576444891,0.606374326043719
YAR002W,10,0.043263138667549,0.011741656548704,0.610245054264283
YAR003W,10,0.107043289505179,0.0134286963560243,0.195091805100927
YAR007C,10,0.0598792255041728,-0.0143084462331205,0.300319346920392
YAR008W,10,0.141364069237887,0.0129259095242362,0.272423947424745
YAR014C,10,0.0869989239885218,-0.0133871139629696,0.335166843860906
YAR015W,10,0.647629627632656,0.894537323204931,0.0162508326711213
YAR018C,10,0.0814532699074548,-0.0181446632481754,0.43366255013112
YAR019C,10,0.0271518435032674,0.0403939070398242,0.559385641797098
YAR019W-A,10,-0.195272460479633,-0.128602581964006,0.187072956533104
YAR020C,10,0.121877228022912,0.153344222989736,0.0976715055797974
YAR023C,10,0.0623836557736025,0.0491311023916618,0.343294278854433
YAR027W,10,-0.00258828424558937,0.0728429364966121,0.9832661569912
YAR028W,10,-0.0227879407971618,0.00707763054996672,0.795054646524224
YAR029W,10,-0.0601122311805523,-0.0317012564908063,0.644046627880676
YAR030C,10,0.139736929755081,0.144851013893667,0.0971355033285946
YAR031W,10,0.0838059502424387,0.100064594003567,0.127983807761903
YAR033W,10,0.149869509871949,0.152865809910323,0.0201198768262347
YAR035C-A,10,1.46452289088276,1.57805963739454,2.10581694466698e-05
YAR035W,10,0.198210328292092,0.232139023226379,0.01122294393776
YAR042W,10,0.177462757050065,0.17823184174159,0.000426911754193239
YAR047C,10,0.12446545438227,0.137143117157798,0.355691155318336
YAR050W,10,0.196310630452902,0.17158003783778,0.00705125814582475
YAR053W,10,-0.15489456775821,-0.0677451628836121,0.118786112750628
YAR060C,10,0.141058312105937,0.155084587469175,0.0112541252849085
YAR064W,10,0.0485815917700868,-0.00016343195593764,0.463494480668379
YAR066W,10,-0.0855830725131086,0.0245743222153543,0.508864218114884
YAR068W,10,0.0097114490442504,0.0424820005317787,0.930988636735616
YAR069C,10,-0.0400933865172032,-0.0533905817570164,0.715124206094794
YAR070C,10,-0.503466535308611,0.0235229433367232,0.182169373824809
YAR071W,10,0.259351736971595,-0.00844330230657352,0.229260707399597
YAR073W,10,0.0345498997415209,0.0701331152165048,0.691841752823043
YAR075W,10,-0.0346597392238305,0.00888456764381385,0.657737051776448
YBL001C,10,0.0149570131459816,-0.0113546199535859,0.802495443191332
YBL002W,10,-0.00171324307899983,-0.00649908100612811,0.943059035024453
YBL003C,10,0.0205462365659625,-0.00474511552332129,0.499120281013152
YBL004W,10,0.202077847688097,0.1135508607624,0.175979908882745
YBL005W,10,-0.0111345211436855,0.00314967513984704,0.727796258352877
YBL006C,10,0.0290826875236949,-0.00362058660076508,0.291579998455139
YBL006W-A,10,0,0,NaN
YBL007C,10,0.0405834496403403,0.035049572789065,0.372263038482685
YBL008W,10,0.191937815555476,0.0599517971055827,0.129855115032504
YBL008W-A,10,0.164455056197618,0.030354804272224,0.342552362515027
YBL009W,10,0.111383999578825,-3.92438888610069e-05,0.335711920490887
YBL010C,10,0.0632787376797087,-0.00173343327738115,0.329906657054564
YBL011W,10,0.0221406005853242,-6.21892821901808e-05,0.665917405940214
YBL012C,10,-0.0916646074391679,-1.67919193753479e-05,0.191968515753377
YBL013W,10,-0.0306282860826567,-0.0883342275015159,0.709588473501233
YBL014C,10,0.145657536917895,-0.000373028776926305,0.284428448007493
YBL015W,10,-0.00846857426677862,0.0491110876474727,0.911686366773295
