ORF,N_FC_Strains,mean_FoldChangeExpression,median_FoldChangeExpression,p
YDL008W,4,-0.103794603978972,-0.279883760052509,0.489282440942401
YDL009C,4,-0.100589310999744,-0.0984535479711697,0.957256255225377
YDL010W,4,0.0426505847537367,0.0689993644344655,0.210756509636125
YDL011C,4,0.0127836109133965,0.0308615696526439,0.767354409801705
YDL012C,3,-0.0296233826113323,0.0479593959791799,0.369679827972884
YDL013W,3,-0.00402712534979531,-0.0159240833596678,0.369721134409108
YDL014W,5,0.137747620764231,0.047593358013036,0.369070683115667
YDL015C,5,0.117347533095507,0.158725781973919,0.0629087319470962
YDL016C,5,0.104739191704694,0.105102335556336,0.192862963354064
YDL017W,5,0.0399504407442815,0.0599060789571359,0.331148098051753
YDL018C,5,-0.0134326685841563,-0.000771126761513913,0.478149545496607
YDL019C,5,-0.0321904376273375,0.0750265441735063,0.956986334531387
YDL020C,5,0.0641898559328743,0.0704765566339279,0.307528109208833
YDL021W,3,0.45853658336019,0.398501881229922,0.831773397146231
YDR006C,3,0.118511746708522,0.141539373400705,0.0735535364403779
YDR007W,3,0.187879812183033,0.226227130950731,0.771520843622733
YDR008C,3,0.23561442261409,0.246576866825843,0.953771152441125
YDR009W,3,0.0959914648722144,0.0472655166364253,0.94439260595126
YDR010C,3,-0.0944671248576112,-0.13279946053791,0.259064627951007
YDR011W,3,0.115731514521578,0.110292260884865,0.0565772826740942
YDR012W,3,-0.159848771153077,-0.101777352502468,0.740934838659984
YDR013W,3,0.0218751432368925,-0.0122490447187777,0.0971986491068998
YDR014W,2,-0.264366052854525,-0.264366052854525,0.650809420062823
YDR496C,1,0.440689299903636,0.440689299903636,0.0107951732506558
YDR497C,1,-0.245083776561723,-0.245083776561723,0.060748148090885
YDR498C,1,-0.0454655347927134,-0.0454655347927134,0.995288832193121
YDR499W,1,0.113888659570473,0.113888659570473,0.0188680480763882
YDR500C,1,0.0944776321062634,0.0944776321062634,0.79425707220797
YDR501W,1,-0.0748633567445572,-0.0748633567445572,0.368872926141733
YDR502C,1,-0.759074983074091,-0.759074983074091,0.221405135323385
YDR503C,1,-0.260825044210096,-0.260825044210096,0.000170453186278786
