#WT LCcen4 LCcen12
0.41 0.264227642 0.411830109
0.097061443 0.560528247 0.445283019
0.19817998 0.209476309 0.382796924
0.387851519 0.255552509 0.34911106
0.26485368 0.409395973 0.290322581
0.210107045 0.06577917 0.390829694
0.098556846 0.098740036 0.591251885
0.036875303 0.425169215 0.173195876
0.109533469 0.487748631 0.098144823
0.144284129 0.533333333 0.398885794
0.357239513 0.66532461 0.434616435
0 0.37727061 0.718759886
0.040041068 0.249044729 0.438356164
0.13386552 0.057822336 0.195178623
0.39750142 0.089674499 0.383416953
0.07750953 0.25033527 0.165242165
0.191304348 0.301792829 0.015329586
0.050586058 0.336469917 0.049557522
0.502420136 0.24783028 0.299798793
0.29216934 0.15674749 0.193771626
0.199997017 0.302113182 0.321283976
0.14752943 0.1679119 0.172824676
0.243190661 0.119182467 0.514670256
0.074671583 0.131968146 0.119047619
0.616961312 0.308124824 0.242014742
0.25881729 0.258839843 0.391193511
0.246588694 0.258839843 0.231913802
0.242910916 0.251428571 0.510919248
0.202145411 0.146283543 0.468073445
0.095681889 0.226287915 0.685209254
0.097537652 0.106234275 0.457622043
0.107268878 0.166191833 0.483730464
0.378394873 0.122571819 0.357976654
0.237330037 0.321885184 0.409644802
0.137931034 0.188015393 0.476790831
0.167664671 0.347402597 0.255421687
0.187799043 0.136935259 0.118948145
0.239586919 0.09447983 0.100740741
0.190886258 0.654222222 0.382043935
0.082248115 0.056737589 0.283068783
0.336871251 0.122626153 0.426789232
0.202545656 0.452733776 0.199769497
0.121212121 0.506138812 0.20987271
0.206444254 0.684619368 0.077935223
0.144546649 0.636862745 0.15876516
0.119568995 0.582630499 0.383642248
0.222578919 0.707148347 0.212663639
0.274336283 0.484146955 0.069551777
0.131410256 0.370297677 0.056463596
0.17166828 0.190815237 0.24730501
0.221528861 0.446542627 0.05994006
0.305380222 0.236323851 0.098350451
