ID	genotype	regions_deleted
409	WT	
524	FC(4-12)cen12	4:1516999-Inf,12:1059029:1059029-Inf
527	FC(4-12)cen4	4:1516999-Inf,12:1059029:1059029-Inf
1138	FC(4-15)cen15	4:1516999-Inf,15:1068611-Inf
1228	FC(4-15)cen4	4:1516999-Inf,15:1068611-Inf
1379	FC(4-15-5)cen5	4:1516999-Inf,15:1068611-Inf,15:1-5301,5:561108-Inf
1387	FC(4-15-5)cen4	4:1516999-Inf,15:1068611-Inf,15:1-5301,5:561108-Inf
1380	FC(4-15-16)cen16	4:1516999-Inf,15:1068611-Inf,15:1-5301,16:1-22026
1388	FC(4-15-16)cen4	4:1516999-Inf,15:1068611-Inf,15:1-5301,16:1-22026
1788	FC(4-15-5-7)cen4	4:1516999-Inf,15:1068611-Inf,15:1-5301,5:561108-Inf,5:1-13208,7:1-2088
1793	FC(4-15-5-7)cen7	4:1516999-Inf,15:1068611-Inf,15:1-5301,5:561108-Inf,5:1-13208,7:1-2088
