#Fusion Locus Fused/NoFused Arm Telomere Terminal/InternalTEL GenDistToTEL DisplacementFromNEwrtWT
LC_IV_XII_cen12 chr1_1_0_9600 NoFused armL TELL1 TerminalTEL 4800 3.244
LC_IV_XII_cen12 chr1_2_9600_19200 NoFused armL TELL1 TerminalTEL 14400 4.635
LC_IV_XII_cen12 chr1_3_19200_28800 NoFused armL TELL1 TerminalTEL 24000 5.38
LC_IV_XII_cen12 chr1_4_28800_38400 NoFused armL TELL1 TerminalTEL 33600 5.581
LC_IV_XII_cen12 chr1_5_38400_48000 NoFused armL TELL1 TerminalTEL 43200 5.477
LC_IV_XII_cen12 chr1_6_48000_57600 NoFused armL TELL1 TerminalTEL 52800 5.782
LC_IV_XII_cen12 chr1_7_57600_67200 NoFused armL TELL1 TerminalTEL 62400 5.669
LC_IV_XII_cen12 chr1_8_67200_76800 NoFused armL TELL1 TerminalTEL 72000 5.564
LC_IV_XII_cen12 chr1_9_76800_86400 NoFused armL TELL1 TerminalTEL 81600 6.039
LC_IV_XII_cen12 chr1_10_86400_96000 NoFused armL TELL1 TerminalTEL 91200 5.613
LC_IV_XII_cen12 chr1_11_96000_105600 NoFused armL TELL1 TerminalTEL 100800 6.059
LC_IV_XII_cen12 chr1_12_105600_115200 NoFused armL TELL1 TerminalTEL 110400 6.693
LC_IV_XII_cen12 chr1_13_115200_124800 NoFused armL TELL1 TerminalTEL 120000 7.352
LC_IV_XII_cen12 chr1_14_124800_134400 NoFused armL TELL1 TerminalTEL 129600 7.23
LC_IV_XII_cen12 chr1_15_134400_144000 NoFused armL TELL1 TerminalTEL 139200 5.636
LC_IV_XII_cen12 chr1_16_144000_153600 NoFused armL TELL1 TerminalTEL 148800 4.837
LC_IV_XII_cen12 chr1_17_153600_163200 NoFused armR TELR1 TerminalTEL 72000 4.511
LC_IV_XII_cen12 chr1_18_163200_172800 NoFused armR TELR1 TerminalTEL 62400 3.442
LC_IV_XII_cen12 chr1_19_172800_182400 NoFused armR TELR1 TerminalTEL 52800 2.331
LC_IV_XII_cen12 chr1_20_182400_192000 NoFused armR TELR1 TerminalTEL 43200 2.87
LC_IV_XII_cen12 chr1_21_192000_201600 NoFused armR TELR1 TerminalTEL 33600 3.837
LC_IV_XII_cen12 chr1_22_201600_211200 NoFused armR TELR1 TerminalTEL 24000 4.295
LC_IV_XII_cen12 chr1_23_211200_220800 NoFused armR TELR1 TerminalTEL 14400 3.899
LC_IV_XII_cen12 chr1_24_220800_230400 NoFused armR TELR1 TerminalTEL 4800 2.185
LC_IV_XII_cen12 chr2_1_0_9600 NoFused armL TELL2 TerminalTEL 4800 7.685
LC_IV_XII_cen12 chr2_2_9600_19200 NoFused armL TELL2 TerminalTEL 14400 8.523
LC_IV_XII_cen12 chr2_3_19200_28800 NoFused armL TELL2 TerminalTEL 24000 8.418
LC_IV_XII_cen12 chr2_4_28800_38400 NoFused armL TELL2 TerminalTEL 33600 8.201
LC_IV_XII_cen12 chr2_5_38400_48000 NoFused armL TELL2 TerminalTEL 43200 8.105
LC_IV_XII_cen12 chr2_6_48000_57600 NoFused armL TELL2 TerminalTEL 52800 8.545
LC_IV_XII_cen12 chr2_7_57600_67200 NoFused armL TELL2 TerminalTEL 62400 9.167
LC_IV_XII_cen12 chr2_8_67200_76800 NoFused armL TELL2 TerminalTEL 72000 9.185
LC_IV_XII_cen12 chr2_9_76800_86400 NoFused armL TELL2 TerminalTEL 81600 10.279
LC_IV_XII_cen12 chr2_10_86400_96000 NoFused armL TELL2 TerminalTEL 91200 10.374
