target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3254.42	1354	8.77992
YAL002W	3825	3596.42	877	5.14606
YAL003W	621	392.416	41483	2230.84
YAL004W	648	419.416	0	0
YAL005C	1929	1700.42	41512.8	515.196
YAL007C	648	419.416	3297	165.89
YAL008W	597	368.416	282	16.1531
YAL009W	780	551.416	386	14.7725
YAL010C	1482	1253.42	451	7.59323
YAL011W	1878	1649.42	562	7.19037
YAL012W	1185	956.416	7650	168.795
YAL013W	1218	989.416	579	12.3494
YAL014C	768	539.416	814	31.8453
YAL015C	1200	971.416	493	10.7099
YAL016C-A	315	86.6784	146.046	35.5568
YAL016C-B	186	59.1745	4	1.4265
YAL016W	1908	1679.42	3254.95	40.9008
YAL017W	4071	3842.42	1119	6.14569
YAL018C	978	749.416	5	0.140797
YAL019W	3396	3167.42	3208	21.3734
YAL019W-A	570	341.416	23.2028	1.43417
YAL020C	1002	773.416	274.797	7.49798
YAL021C	2514	2285.42	2025	18.6984
YAL022C	1554	1325.42	913	14.5366
YAL023C	2280	2051.42	8714	89.6415
YAL024C	4308	4079.42	844	4.36606
YAL025C	921	692.416	2335	71.1648
YAL026C	4068	3839.42	2008.82	11.0413
YAL026C-A	438	209.438	58.5449	5.899
YAL027W	786	557.416	269.634	10.208
YAL028W	1587	1358.42	254	3.9459
YAL029C	4416	4187.42	2988	15.0584
YAL030W	354	125.538	529	88.9255
YAL031C	2283	2054.42	624.287	6.4127
YAL031W-A	309	80.7615	32.7132	8.54798
YAL032C	1140	911.416	438	10.1415
YAL033W	522	293.416	378	27.1865
YAL034C	1242	1013.42	436	9.07912
YAL034C-B	354	125.538	11	1.84911
YAL034W-A	870	641.416	290	9.54121
YAL035W	3009	2780.42	20659	156.799
YAL036C	1110	881.416	4076	97.5885
YAL037C-A	93	26.922	9	7.05474
YAL037C-B	975	746.416	8170.37	230.997
YAL037W	804	575.416	123	4.51095
YAL038W	1503	1274.42	133194	2205.55
YAL039C	810	581.416	555	20.1443
YAL040C	1743	1514.42	2518	35.0878
YAL041W	2565	2336.42	1308	11.8142
YAL042C-A	378	149.524	292.367	41.2633
YAL042W	1248	1019.42	3253.63	67.3538
YAL043C	2358	2129.42	989	9.80124
YAL044C	513	284.416	861	63.8844
YAL044W-A	333	104.586	321.032	64.777
YAL045C	309	80.7615	94.9678	24.8152
YAL046C	357	128.538	289	47.4474
YAL047C	1869	1640.42	304	3.91079
YAL047W-A	330	101.596	1.08814	0.226023
YAL048C	1989	1760.42	622.912	7.46718
YAL049C	741	512.416	954	39.289
YAL051W	3144	2915.42	982	7.10814
YAL053W	2352	2123.42	3093	30.739
YAL054C	2142	1913.42	346	3.81603
YAL055W	543	314.416	237	15.907
YAL056C-A	351	122.563	18.9852	3.26891
YAL056W	2643	2414.42	1209	10.5672
YAL058W	1509	1280.42	478.015	7.87835
YAL059C-A	423	194.438	12.1458	1.31823
YAL059W	639	410.416	1326.85	68.2251
YAL060W	1149	920.416	1527	35.0106
YAL061W	1254	1025.42	255	5.2479
YAL062W	1374	1145.42	259	4.77179
YAL063C	3969	3740.42	632.169	3.56663
YAL063C-A	291	63.4224	7	2.32916
YAL064C-A	381	152.524	31.1908	4.31553
YAL064W	285	57.8843	21	7.65603
YAL064W-B	381	152.524	13.1168	1.81482
YAL065C	387	158.524	17.9498	2.38951
YAL066W	309	80.7615	0	0
YAL067C	1782	1553.42	22	0.298868
YAL067W-A	228	29.4422	4.02776	2.88694
YAL068C	363	134.538	6.82485	1.07052
YAL068W-A	255	35.2362	0	0
YAL069W	315	86.6784	4.45876	1.08555
YAR002C-A	660	431.416	3586	175.412
YAR002W	1620	1391.42	2136	32.3958
YAR003W	1281	1052.42	889	17.8262
YAR007C	1866	1637.42	2376	30.6219
YAR008W	828	599.416	494	17.3918
YAR009C	3591	3362.42	39820.4	249.919
YAR010C	1323	1094.42	423.423	8.16465
YAR014C	2130	1901.42	1841	20.4325
YAR015W	921	692.416	1700	51.8116
YAR018C	1308	1079.42	597	11.6716
YAR019C	2925	2696.42	491.539	3.84695
YAR019W-A	333	104.586	3.46092	0.698335
YAR020C	168	60.8563	13.5946	4.71417
YAR023C	540	311.416	124	8.40284
YAR027W	708	479.416	1293	56.9156
YAR028W	705	476.416	642	28.4377
YAR029W	225	30.0502	71	49.8605
YAR030C	342	113.586	23	4.27316
YAR031W	897	668.416	239.051	7.54727
YAR033W	705	476.416	315.132	13.9589
